Country,Prison.popn.2003,,Prison.popn.2005,,Prison.popn.2010,,Prison.popn.2011,,Prison.popn.2012,,Prison.popn.2013,,Prison.popn.2014,,Prison.popn.2015,,Prison.popn.2016,,Prison.popn.2017,
Afghanistan,..,,..,,63,,..,,80,,..,,81,,..,,..,,84,
Albania,82,,84,,158,,159,,158,,171,,195,,205,,206,,194,
Algeria,123,,132,,136,,136,,133,,157,,156,,156,,..,,145,
Andorra,83,,..,,52,,59,,44,,53,,67,,53,,60,,68,
Angola,33,,42,,..,,82,,..,,83,,85,,87,,83,,..,
Antigua and Barbuda,..,,217,,312,,..,,373,,379,,335,,..,,367,,299,
Argentina,..,,142,,144,,146,,148,,151,,161,,167,,174,,193,
Armenia,95,,96,,179,,158,,165,,136,,134,,133,,131,,121,
Australia,120,,..,,134,,129,,129,,133,,144,,152,,161,,169,
Austria,..,,109,,105,,106,,103,,103,,101,,..,,99,,100,
Azerbaijan,..,,209,,243,,225,,224,,220,,237,,..,,240,,237,
Bahamas,..,,880,,354,,371,,385,,..,,365,,..,,447,,..,
Bahrain,56,,58,,89,,..,,177,,306,,..,,277,,..,,233,
Bangladesh,..,,50,,46,,..,,44,,46,,41,,44,,45,,54,
Barbados,364,,364,,326,,378,,371,,321,,305,,336,,..,,306,
Belarus,499,,432,,418,,387,,304,,300,,314,,..,,..,,343,
Belgium,..,,89,,97,,..,,101,,109,,105,,97,,98,,88,
Belize,399,,487,,722,,695,,756,,765,,741,,401,,517,,346,
Benin,..,,..,,75,,..,,..,,..,,69,,..,,..,,70,
Bhutan,..,,..,,..,,135,,144,,142,,144,,..,,..,,..,
Bolivia (Plurinational State of),77,,80,,90,,111,,139,,142,,135,,127,,147,,162,
Bosnia and Herzegovina,..,,..,,74,,75,,80,,80,,79,,77,,80,,..,
Botswana,326,,527,,348,,230,,203,,180,,190,,179,,194,,189,
Brazil,156,,193,,261,,269,,284,,299,,298,,339,,350,,335,
Brunei Darussalam,129,,135,,98,,..,,121,,..,,144,,135,,..,,..,
Bulgaria,129,,149,,127,,134,,130,,122,,109,,103,,103,,99,
Burkina Faso,..,,25,,33,,31,,30,,..,,39,,42,,41,,..,
Burundi,114,,97,,112,,115,,68,,81,,76,,90,,96,,93,
Cabo Verde,..,,..,,..,,..,,262,,276,,..,,..,,291,,282,
Cambodia,..,,61,,98,,..,,104,,..,,99,,..,,140,,194,
Cameroon,121,,130,,119,,111,,109,,117,,116,,123,,125,,..,
Canada,108,,108,,116,,116,,117,,107,,114,,114,,113,,..,
Central African Republic,..,,24,,..,,19,,19,,..,,..,,17,,..,,..,
Chad,..,,34,,40,,39,,38,,..,,..,,57,,..,,..,
Chile,241,,241,,354,,345,,326,,304,,280,,269,,273,,231,
China,118,,118,,121,,121,,119,,121,,119,,115,,111,,..,
Colombia,148,,154,,184,,216,,243,,254,,238,,250,,244,,244,
Comoros,..,,..,,..,,..,,..,,28,,..,,19,,..,,23,
Congo,..,,42,,..,,31,,..,,32,,25,,..,,..,,..,
Congo (Democratic Republic of the),..,,..,,34,,..,,32,,..,,..,,27,,..,,..,
Costa Rica,..,,208,,232,,264,,288,,290,,291,,291,,275,,290,
Croatia,64,,80,,119,,118,,110,,102,,88,,79,,74,,..,
Cuba,489,,..,,..,,..,,504,,..,,..,,..,,..,,..,
Cyprus,36,,49,,57,,55,,60,,48,,46,,47,,50,,50,
Czechia,170,,185,,208,,219,,214,,157,,176,,197,,212,,209,
C̫te d'Ivoire,..,,..,,..,,..,,33,,..,,48,,53,,47,,57,
Denmark,68,,75,,71,,71,,68,,73,,63,,56,,60,,63,
Djibouti,..,,..,,..,,87,,..,,61,,..,,65,,64,,..,
Dominica,347,,399,,413,,..,,382,,367,,..,,299,,287,,..,
Dominican Republic,187,,137,,210,,218,,237,,241,,242,,234,,157,,244,
Ecuador,74,,87,,79,,..,,138,,163,,151,,..,,212,,226,
Egypt,..,,..,,..,,77,,..,,..,,..,,..,,111,,..,
El Salvador,..,,208,,400,,410,,456,,430,,451,,517,,580,,601,
Equatorial Guinea,..,,..,,..,,..,,..,,..,,..,,43,,..,,..,
Estonia,333,,325,,255,,256,,248,,235,,230,,215,,204,,197,
Eswatini (Kingdom of),291,,241,,..,,307,,273,,258,,279,,274,,..,,..,
Ethiopia,..,,..,,119,,..,,120,,..,,117,,..,,..,,..,
Fiji,..,,135,,128,,..,,160,,..,,174,,174,,203,,..,
Finland,70,,74,,63,,61,,61,,61,,58,,57,,57,,56,
France,91,,90,,96,,102,,105,,105,,103,,103,,106,,106,
Gabon,..,,..,,..,,..,,..,,..,,..,,175,,..,,..,
Gambia,..,,..,,..,,57,,..,,54,,58,,..,,..,,..,
Georgia,134,,204,,560,,578,,471,,225,,260,,246,,237,,255,
Germany,99,,98,,88,,86,,85,,81,,78,,77,,79,,77,
Ghana,56,,57,,55,,..,,52,,53,,54,,52,,51,,51,
Greece,78,,88,,108,,109,,110,,112,,105,,86,,85,,90,
Grenada,..,,230,,418,,435,,464,,453,,482,,470,,426,,..,
Guatemala,66,,63,,76,,..,,98,,105,,116,,117,,127,,144,
Guinea,..,,..,,35,,..,,23,,..,,26,,..,,23,,25,
Guinea-Bissau,..,,..,,..,,..,,..,,5,,30,,..,,11,,32,
Guyana,..,,195,,289,,272,,270,,264,,..,,260,,284,,286,
Haiti,39,,40,,53,,..,,85,,95,,99,,103,,..,,81,
Honduras,..,,157,,144,,144,,142,,152,,169,,180,,192,,209,
"Hong Kong, China (SAR)",192,,169,,145,,132,,133,,129,,115,,117,,118,,113,
Hungary,166,,156,,164,,174,,174,,181,,182,,178,,181,,178,
Iceland,38,,40,,52,,46,,47,,46,,47,,44,,37,,39,
India,28,,31,,30,,30,,30,,32,,32,,32,,..,,..,
Indonesia,38,,43,,49,,..,,63,,64,,63,,67,,78,,93,
Iran (Islamic Republic of),229,,191,,..,,331,,..,,292,,288,,..,,..,,283,
Iraq,..,,..,,95, a,97, a,111, a,105, a,..,,145, a,..,,..,
Ireland,80,,72,,93,,90,,92,,87,,81,,80,,78,,78,
Israel,193,,243,,272,,251,,264,,238,,262,,..,,..,,232,
Italy,95,,103,,116,,114,,112,,107,,92,,90,,94,,100,
Jamaica,175,,176,,..,,158,,154,,144,,141,,134,,132,,133,
Japan,58,,62,,57,,54,,52,,49,,47,,46,,44,,41,
Jordan,..,,112,,117,,83,,97,,95,,115,,125,,..,,162,
Kazakhstan,..,,336,,336,,297,,268,,244,,247,,237,,218,,187,
Kenya,..,,139,,116,,120,,102,,119,,116,,115,,100,,103,
Kiribati,..,,80,,88,,..,,99,,..,,109,,130,,113,,..,
Korea (Republic of),119,,97,,92,,91,,94,,97,,103,,108,,114,,108,
Kuwait,171,,154,,139,,128,,..,,81,,85,,102,,135,,145,
Kyrgyzstan,338,,310,,183,,..,,176,,176,,166,,173,,174,,175,
Lao People's Democratic Republic,..,,..,,..,,..,,..,,..,,..,,123,,..,,..,
Latvia,360,,340,,320,,314,,296,,252,,235,,221,,215,,193,
Lebanon,172,,174,,117,,113,,103,,102,,114,,108,,106,,106,
Lesotho,..,,139,,122,,..,,123,,..,,97,,..,,..,,..,
Liberia,..,,..,,..,,39,,..,,43,,..,,47,,..,,47,
Libya,..,,..,,215,,..,,51,,86,,100,,..,,..,,..,
Liechtenstein,..,,373,,211,,196,,164,,185,,143,,142,,191,,192,
Lithuania,236,,243,,293,,322,,320,,309,,292,,251,,234,,228,
Luxembourg,..,,151,,134,,123,,125,,120,,113,,122,,126,,111,
Madagascar,110,,111,,87,,85,,86,,86,,86,,85,,88,,82,
Malawi,69,,74,,77,,..,,76,,..,,71,,69,,77,,79,
Malaysia,..,,139,,137,,..,,125,,132,,159,,166,,166,,175,
Maldives,..,,..,,228,,..,,257,,..,,294,,362,,441,,425,
Mali,..,,..,,..,,37,,..,,30,,31,,..,,..,,..,
Malta,69,,72,,140,,140,,139,,145,,137,,132,,130,,136,
Marshall Islands,38,,..,,..,,78,,..,,68,,66,,..,,..,,..,
Mauritania,40,,26,,47,,..,,42,,..,,44,,..,,45,,..,
Mauritius,215,,208,,196,,216,,220,,212,,178,,165,,177,,202,
Mexico,176,,192,,160,,179,,172,,178,,184,,176,,149,,141,
Micronesia (Federated States of),..,,..,,..,,92,,..,,103,,127,,..,,..,,..,
Moldova (Republic of),..,,213,,155,,159,,162,,168,,180,,192,,199,,185,
Monaco,85,,92,,32,,85,,87,,76,,60,,89,,80,,74,
Mongolia,..,,353,,274,,290,,289,,281,,263,,184,,188,,126,
Montenegro,121,,145,,233,,212,,212,,170,,179,,180,,179,,178,
Morocco,183,,167,,200,,..,,212,,213,,218,,213,,223,,233,
Mozambique,..,,85,,63,,65,,..,,59,,57,,57,,..,,61,
Myanmar,..,,..,,..,,131,,..,,117,,..,,..,,151,,149,
Namibia,..,,..,,196,,..,,..,,173,,..,,147,,298,,..,
Nauru,..,,30,,..,,..,,248,,..,,126,,..,,..,,..,
Nepal,..,,..,,40,,..,,54,,..,,59,,..,,62,,64,
Netherlands,100,,107,,86,,83,,80,,76,,71,,64,,62,,61,
New Zealand,..,,180,,193,,192,,184,,191,,189,,198,,213,,222,
Nicaragua,..,,103,,118,,..,,167,,..,,176,,..,,..,,..,
Niger,..,,55,,32,,..,,39,,..,,..,,43,,..,,..,
Nigeria,..,,28,,30,,30,,31,,32,,32,,..,,34,,40,
North Macedonia,78,,103,,122,,121,,123,,..,,150,,165,,155,,146,
Norway,62,,68,,73,,78,,81,,76,,80,,78,,73,,64,
Oman,..,,..,,..,,..,,..,,35,,..,,..,,..,,..,
Pakistan,..,,58,,44,,45,,42,,..,,43,,42,,44,,42,
Palau,523,,487,,..,,447,,..,,492,,341,,338,,..,,395,
"Palestine, State of",125,,220,,308,,303,,345,,286,,315,,206,,170,,..,
Panama,..,,368,,344,,356,,384,,377,,402,,424,,411,,394,
Papua New Guinea,..,,64,,60,,..,,47,,..,,59,,61,,61,,..,
Paraguay,..,,108,,100,,114,,128,,143,,166,,194,,198,,206,
Peru,107,,120,,155,,165,,204,,221,,232,,246,,258,,278,
Philippines,..,,..,,102,,106,,110,,112,,124,,137,,165,,..,
Poland,206,,221,,215,,216,,223,,209,,207,,190,,189,,195,
Portugal,132,,122,,111,,122,,131,,138,,136,,138,,134,,132,
Qatar,83,,60,,..,,59,,..,,51,,..,,..,,..,,..,
Romania,197,,171,,138,,151,,158,,167,,151,,143,,139,,119,
Russian Federation,..,,573,,571,,527,,489,,472,,467,,449,,438,,418,
Rwanda,..,,..,,537,,..,,516,,..,,472,,467,,..,,500,
Saint Kitts and Nevis,412,,..,,548,,665,,696,,621,,622,,..,,401,,400,
Saint Lucia,286,,307,,305,,..,,325,,..,,359,,..,,314,,294,
Saint Vincent and the Grenadines,..,,335,,950,,1160,,421,,..,,377,,..,,419,,426,
Samoa,..,,..,,..,,228,,..,,..,,250,,259,,..,,204,
San Marino,..,,..,,..,,..,,..,,..,,..,,6,,..,,9,
Sao Tome and Principe,..,,100,,175,,..,,119,,..,,105,,91,,..,,123,
Saudi Arabia,..,,..,,..,,174,,..,,157,,..,,..,,..,,207,
Senegal,..,,226,,229,,..,,62,,..,,59,,..,,62,,59,
Serbia,80,,88,,124,,123,,114,,112,,116,,114,,121,,123,
Seychelles,200,,183,,473,,..,,681,,..,,820,,..,,..,,445,
Sierra Leone,..,,31,,35,,..,,41,,47,,51,,48,,45,,60,
Singapore,409,,322,,268,,254,,246,,249,,235,,228,,222,,205,
Slovakia,164,,165,,186,,195,,200,,180,,184,,182,,184,,192,
Slovenia,54,,57,,66,,62,,67,,66,,73,,67,,63,,63,
Solomon Islands,..,,63,,51,,..,,53,,57,,49,,46,,73,,78,
South Africa,380,,322,,317,,305,,298,,291,,284,,289,,..,,279,
South Sudan,..,,..,,..,,..,,..,,..,,..,,55,,..,,..,
Spain,132,,139,,158,,150,,146,,143,,140,,133,,128,,127,
Sri Lanka,..,,113,,129,,114,,114,,132,,96,,92,,84,,99,
Sudan,41,,..,,..,,57,,..,,52,,..,,..,,..,,52,
Suriname,..,,164,,..,,190,,..,,194,,183,,..,,..,,..,
Sweden,75,,82,,73,,70,,66,,60,,60,,58,,58,,58,
Switzerland,72,,83,,74,,71,,76,,82,,79,,78,,78,,77,
Syrian Arab Republic,68,,..,,..,,..,,..,,..,,..,,..,,..,,..,
Tajikistan,152,,..,,122,,..,,..,,..,,..,,..,,..,,..,
Tanzania (United Republic of),..,,118,,..,,81,,68,,72,,65,,64,,..,,..,
Thailand,..,,248,,314,,332,,346,,411,,465,,471,,473,,540,
Timor-Leste,33,,..,,..,,23,,26,,..,,..,,47,,..,,51,
Togo,59,,..,,63,,..,,61,,..,,62,,60,,59,,62,
Tonga,..,,127,,153,,..,,151,,..,,166,,..,,..,,..,
Trinidad and Tobago,..,,291,,278,,321,,277,,268,,249,,548,,..,,292,
Tunisia,..,,..,,..,,195,,..,,227,,..,,209,,..,,180,
Turkey,97,,82,,166,,175,,183,,190,,207,,228,,253,,322,
Turkmenistan,332,,283,,521,,..,,..,,570,,..,,..,,..,,529,
Tuvalu,..,,70,,76,,..,,112,,..,,101,,..,,..,,..,
Uganda,67,,67,,92,,91,,97,,105,,109,,112,,123,,126,
Ukraine,402,,365,,336,,338,,..,,326,,..,,..,,137,,129,
United Arab Emirates,..,,217,,..,,..,,110,,111,,108,,..,,..,,..,
United Kingdom,139, b,138, b,149, b,149, b,149, b,143, b,144, b,144, b,141, b,141, b
United States,742,,746,,738,,724,,712,,707,,700,,679,,671,,..,
Uruguay,196,,187,,258,,268,,277,,277,,279,,291,,307,,320,
Uzbekistan,186,,..,,..,,..,,142,,..,,144,,..,,..,,..,
Vanuatu,47,,66,,79,,..,,78,,..,,58,,87,,71,,..,
Venezuela (Bolivarian Republic of),..,,..,,141,,..,,151,,..,,167,,159,,173,,179,
Viet Nam,..,,105,,..,,126,,144,,..,,154,,146,,138,,136,
Yemen,84,,29,,53,,43,,..,,55,,..,,..,,..,,..,
Zambia,116,,119,,120,,..,,116,,112,,110,,115,,114,,146,
Zimbabwe,167,,139,,95,,..,,115,,112,,113,,120,,..,,118,
Eritrea,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,