Country,Inequality_adjusted_income_index,Inequality_in_education_perc,EdInd
Afghanistan,0.3884,43.18888888888889,0.39655555555555555
Albania,0.5912222222222222,11.344444444444445,0.7461111111111112
Algeria,0.658,33.7,0.6566666666666667
Angola,0.392,33.4375,0.45755555555555555
Argentina,0.5585555555555556,8.844444444444445,0.829111111111111
Armenia,0.5715555555555555,4.055555555555555,0.7461111111111111
Australia,0.7571111111111111,2.188888888888889,0.9184444444444445
Austria,0.7785555555555556,3,0.8523333333333333
Azerbaijan,0.7088888888888889,7.433333333333334,0.6745555555555556
Bahamas,0.647,7.28,0.7325555555555555
Bangladesh,0.41388888888888886,38.84444444444444,0.47144444444444444
Barbados,0.5533333333333333,5.5,0.7696666666666667
Belarus,0.6875555555555556,4.677777777777778,0.8353333333333333
Belgium,0.7975555555555556,7.822222222222222,0.8833333333333333
Belize,0.39157142857142857,16.55,0.6716666666666666
Benin,0.32833333333333337,43.544444444444444,0.45011111111111113
Bhutan,0.52,36.0125,0.427
Bolivia (Plurinational State of),0.3761111111111111,24.177777777777777,0.6626666666666666
Bosnia and Herzegovina,0.5607777777777777,12.144444444444444,0.6767777777777778
Botswana,0.33875,32.1,0.652
Brazil,0.46322222222222226,23.933333333333334,0.6612222222222223
Bulgaria,0.6216666666666667,6.266666666666667,0.7864444444444445
Burkina Faso,0.31533333333333335,37.84444444444445,0.26844444444444443
Burundi,0.24457142857142858,38.14285714285714,0.4086666666666667
Cabo Verde,0.44225000000000003,23.287499999999998,0.5322222222222223
Cambodia,0.417,28.477777777777778,0.4627777777777778
Cameroon,0.38822222222222225,34.56666666666666,0.5176666666666667
Canada,0.7574444444444445,3.066666666666667,0.8722222222222222
Central African Republic,0.192,39.56666666666666,0.3338888888888889
Chad,0.3282222222222222,42.31111111111111,0.2793333333333333
Chile,0.5314444444444445,12.377777777777778,0.7756666666666667
China,0.5214444444444445,18.56,0.6304444444444445
Colombia,0.4272222222222222,20.644444444444446,0.6653333333333333
Comoros,0.21516666666666667,47.51111111111111,0.4656666666666667
Congo,0.45111111111111113,23.677777777777777,0.5203333333333333
Congo (Democratic Republic of the),0.2088888888888889,28.755555555555556,0.47355555555555556
Costa Rica,0.4902222222222222,15.1,0.6983333333333334
C̫te d'Ivoire,0.369,45.18888888888889,0.4088888888888889
Croatia,0.6397777777777778,7.2444444444444445,0.7883333333333333
Cyprus,0.7331111111111112,13.544444444444444,0.7922222222222223
Czechia,0.7596666666666667,1.4111111111111112,0.8802222222222222
Denmark,0.8091111111111111,3.3222222222222224,0.9194444444444445
Djibouti,0.39544444444444443,47,0.3098888888888889
Dominican Republic,0.5053333333333333,22.433333333333334,0.634888888888889
Ecuador,0.4752222222222222,18.744444444444444,0.6965555555555555
Egypt,0.5271111111111111,39.34444444444444,0.5845555555555555
El Salvador,0.44955555555555554,30.444444444444443,0.5705555555555555
Estonia,0.6907777777777778,2.488888888888889,0.8768888888888889
Eswatini (Kingdom of),0.42233333333333334,27.844444444444445,0.5264444444444445
Ethiopia,0.34344444444444444,40.388888888888886,0.3224444444444445
Fiji,0.5155000000000001,10.625,0.7483333333333333
Finland,0.7944444444444445,2.4,0.9034444444444445
France,0.7582222222222222,8.666666666666666,0.801888888888889
Gabon,0.6016666666666667,18.1,0.6178888888888889
Gambia,0.2837142857142857,48.15,0.35977777777777775
Georgia,0.5037777777777778,3.1,0.8171111111111111
Germany,0.7736666666666667,2.3666666666666667,0.937
Ghana,0.3932222222222222,33.46666666666667,0.546
Greece,0.67,11.78888888888889,0.8176666666666667
Guatemala,0.4027777777777778,35.28888888888889,0.482
Guinea,0.3391111111111111,45.56666666666666,0.328
Guinea-Bissau,0.269,40.83333333333333,0.38822222222222225
Guyana,0.47733333333333333,10.6,0.594111111111111
Haiti,0.21711111111111112,39.22222222222222,0.42388888888888887
Honduras,0.33166666666666667,27.07777777777778,0.4882222222222222
"Hong Kong, China (SAR)",0.718,10.366666666666667,0.8377777777777777
Hungary,0.71,3.488888888888889,0.820111111111111
Iceland,0.7942222222222223,2.566666666666667,0.8951111111111111
India,0.5003333333333333,37.46666666666667,0.5254444444444445
Indonesia,0.5637777777777777,20.27777777777778,0.6125555555555555
Iran (Islamic Republic of),0.4885,24.36,0.725
Iraq,0.6428333333333334,30.1,0.514888888888889
Ireland,0.765888888888889,3.611111111111111,0.895888888888889
Israel,0.6573333333333333,7.666666666666667,0.8714444444444445
Italy,0.7074444444444444,11.277777777777779,0.7876666666666667
Jamaica,0.46455555555555555,7.311111111111111,0.6872222222222222
Japan,0.8028333333333333,16.16,0.8321111111111111
Jordan,0.5365555555555556,19.477777777777778,0.6772222222222223
Kazakhstan,0.7008888888888889,4.977777777777778,0.8028888888888889
Kenya,0.32933333333333337,26.544444444444444,0.5113333333333333
Kiribati,0.27975,21.4,0.5913333333333333
Korea (Republic of),0.7114444444444444,23.455555555555556,0.861
Kyrgyzstan,0.4292222222222222,6.7,0.7206666666666667
Lao People's Democratic Republic,0.48088888888888887,32.666666666666664,0.4686666666666667
Latvia,0.65,3.511111111111111,0.858
Lebanon,0.5126000000000001,17.3875,0.61
Lesotho,0.2912222222222222,23.566666666666666,0.5014444444444445
Liberia,0.2856666666666667,44.84444444444444,0.41766666666666663
Lithuania,0.6677777777777778,5.022222222222222,0.8726666666666667
Luxembourg,0.8281111111111111,6.888888888888889,0.7877777777777778
Madagascar,0.29288888888888887,32.9,0.49133333333333334
Malawi,0.2638888888888889,30.377777777777776,0.44766666666666666
Malaysia,0.573,13.85,0.7048888888888889
Maldives,0.5536666666666666,36.044444444444444,0.54
Mali,0.3665,39.75555555555555,0.28288888888888886
Malta,0.7514285714285714,6.4,0.7955555555555556
Mauritania,0.41733333333333333,42.044444444444444,0.37
Mauritius,0.648875,13.274999999999999,0.7095555555555555
Mexico,0.5077777777777778,19.466666666666665,0.6577777777777778
Micronesia (Federated States of),0.2788,22.4,0.562
Moldova (Republic of),0.5186666666666667,6.922222222222222,0.7072222222222222
Mongolia,0.5835555555555556,8.911111111111111,0.7368888888888889
Montenegro,0.6616666666666667,6.011111111111111,0.7916666666666667
Morocco,0.4952857142857143,45.28333333333333,0.5053333333333333
Mozambique,0.2428888888888889,27.977777777777774,0.36944444444444446
Myanmar,0.5295,23.15,0.42733333333333334
Namibia,0.26355555555555554,26.555555555555557,0.5637777777777778
Nepal,0.37477777777777777,42.833333333333336,0.48155555555555557
Netherlands,0.8092222222222222,4.333333333333333,0.8982222222222223
New Zealand,0.7395,3.533333333333333,0.9104444444444445
Nicaragua,0.4001111111111111,29.92222222222222,0.5456666666666666
Niger,0.2733333333333333,36.08888888888889,0.21622222222222223
Nigeria,0.42077777777777775,43.022222222222226,0.45944444444444443
North Macedonia,0.5474444444444445,12.28888888888889,0.6806666666666666
Norway,0.8596666666666667,3.3,0.9136666666666667
Oman,0.714,9.1,0.6926666666666667
Pakistan,0.5101111111111111,45.12222222222222,0.3894444444444444
Palau,0.5862499999999999,9.98,0.8336666666666667
"Palestine, State of",0.49733333333333335,13.2,0.6583333333333333
Panama,0.4776666666666667,14.455555555555556,0.6796666666666666
Paraguay,0.45911111111111114,16.95,0.6211111111111111
Peru,0.48777777777777775,21.944444444444446,0.6804444444444444
Philippines,0.47844444444444445,12.21111111111111,0.653
Poland,0.68533333333333335,5.766666666666667,0.8485555555555555
Portugal,0.6696666666666667,9.333333333333334,0.7457777777777778
Romania,0.6444444444444445,6.111111111111111,0.7675555555555555
Russian Federation,0.6916666666666667,4.5625,0.8074444444444444
Rwanda,0.274,29.644444444444446,0.44433333333333336
Saint Lucia,0.5164,10.559999999999999,0.6533333333333333
Sao Tome and Principe,0.36162500000000003,19.944444444444443,0.5084444444444445
Senegal,0.38022222222222224,45.422222222222224,0.3377777777777778
Serbia,0.6176666666666667,9.255555555555555,0.7566666666666667
Sierra Leone,0.3041111111111111,47.78888888888889,0.37633333333333335
Singapore,0.75,9.333333333333334,0.822
Slovakia,0.7474444444444445,1.5333333333333334,0.8201111111111111
Slovenia,0.765,2.7666666666666666,0.8797777777777778
Solomon Islands,0.341,24.65,0.4677777777777778
South Africa,0.3308333333333333,17.366666666666667,0.7042222222222222
South Sudan,0.276,39.6,0.30944444444444447
Spain,0.6872222222222222,9.700000000000001,0.8087777777777778
Sri Lanka,0.5708888888888889,13.733333333333333,0.7474444444444445
Sudan,0.36566666666666664,42.58,0.32366666666666666
Suriname,0.4727777777777778,18.244444444444444,0.64
Sweden,0.8056666666666666,3.6444444444444444,0.892
Switzerland,0.82,3.3222222222222224,0.8894444444444445
Syrian Arab Republic,0.4481428571428571,31.5,0.4652222222222222
Tajikistan,0.4414444444444445,8.355555555555556,0.6685555555555556
Tanzania (United Republic of),0.38133333333333336,28.58888888888889,0.41966666666666663
Thailand,0.5206666666666666,16.72222222222222,0.6363333333333333
Timor-Leste,0.533,46.611111111111114,0.49933333333333335
Togo,0.31222222222222223,39.62222222222222,0.493
Trinidad and Tobago,0.669375,6.6,0.7134444444444444
Tunisia,0.5625714285714285,35.51428571428571,0.6434444444444445
Turkey,0.6218888888888889,18.766666666666666,0.6854444444444444
Turkmenistan,0.52425,5.25,0.6266666666666667
Uganda,0.31122222222222223,29.755555555555556,0.4971111111111111
Ukraine,0.5953333333333333,4.344444444444444,0.7927777777777778
United Kingdom,0.7342222222222222,3.3666666666666667,0.9023333333333333
United States,0.6741111111111111,5.155555555555556,0.8956666666666667
Uruguay,0.5833333333333333,9.544444444444444,0.7273333333333333
Uzbekistan,0.4807142857142857,1.2444444444444445,0.6995555555555555
Vanuatu,0.4076666666666667,17.5,0.5337777777777778
Venezuela (Bolivarian Republic of),0.5112222222222222,15.8,0.7091111111111111
Viet Nam,0.48833333333333334,17.522222222222222,0.6124444444444445
Yemen,0.3983333333333333,47.9,0.34022222222222226
Zambia,0.31877777777777777,22.677777777777777,0.5412222222222223
Zimbabwe,0.31366666666666665,17.88888888888889,0.5523333333333333
