Country,EdInd,Homicide.rate,Prison.popn,Inequality-adjusted income index,Inequality in income (%),Inequality in education (%),Inequality in life expectancy (%)
Afghanistan,0.39655555555555555,6.25,77,0.3884,10.8,43.18888888888889,38.888888888888886
Albania,0.7444444444444445,3.9125,180.75,0.5912222222222222,16.622222222222224,11.344444444444445,9.844444444444445
Algeria,0.655888888888889,1.1833333333333333,145.57142857142858,0.658,11.4,33.7,15.911111111111111
Angola,0.4577777777777778,4.6,84,0.392,36.766666666666666,33.4375,42.67777777777778
Argentina,0.829111111111111,6.275,160.5,0.5585555555555556,29.233333333333334,8.844444444444445,9.555555555555555
Armenia,0.744,2.425,144.625,0.5715555555555555,14.033333333333333,4.055555555555555,11.922222222222222
Australia,0.9184444444444445,1,143.875,0.7571111111111111,17.166666666666668,2.188888888888889,4.188888888888889
Austria,0.8517777777777777,0.7,102.42857142857143,0.7785555555555556,15.533333333333333,3,3.7444444444444445
Azerbaijan,0.6764444444444445,2.257142857142857,232.28571428571428,0.7088888888888889,6.933333333333334,7.433333333333334,19.77777777777778
Bahamas,0.732111111111111,31.425,384.4,0.647,24.5,7.28,9.322222222222223
Bangladesh,0.4726666666666667,2.5375,45.714285714285715,0.41388888888888886,21.644444444444446,38.84444444444444,20.433333333333334
Barbados,0.7696666666666667,9.3625,334.7142857142857,0.5533333333333333,27.76666666666667,5.5,8.11111111111111
Belarus,0.836,3.7600000000000002,344.3333333333333,0.6875555555555556,11.033333333333333,4.677777777777778,6.355555555555556
Belgium,0.8841111111111111,1.7875,99.28571428571429,0.7975555555555556,12.666666666666666,7.822222222222222,4
Belize,0.6716666666666666,36.6625,617.875,0.39157142857142857,39.41428571428571,16.55,11.38888888888889
Benin,0.45011111111111113,1.1,71.33333333333333,0.32833333333333337,26.72222222222222,43.544444444444444,37.355555555555554
Bhutan,0.4328888888888889,2.6,141.25,0.52,20.942857142857143,36.0125,20.75
Bolivia (Plurinational State of),0.6626666666666666,9.642857142857142,131.625,0.3761111111111111,39.15555555555556,24.177777777777777,25.366666666666667
Bosnia and Herzegovina,0.6772222222222222,1.425,77.85714285714286,0.5607777777777777,21.08888888888889,12.144444444444444,7.3
Botswana,0.6522222222222223,15,214.125,0.33875,55.5,32.1,21.755555555555556
Brazil,0.6612222222222223,27.0875,304.375,0.46322222222222226,38.4,23.933333333333334,13.477777777777778
Bulgaria,0.7835555555555556,1.6375,115.875,0.6216666666666667,19.5,6.266666666666667,7.566666666666666
Burkina Faso,0.26844444444444443,0.8125,36,0.31533333333333335,23.58888888888889,37.84444444444445,38.13333333333333
Burundi,0.408,4.985714285714286,91.375,0.24457142857142858,17.457142857142856,38.14285714285714,41.3
Cabo Verde,0.5353333333333333,10.271428571428572,277.75,0.44225000000000003,28,23.287499999999998,13.11111111111111
Cambodia,0.4627777777777778,2.05,127,0.417,18.544444444444444,28.477777777777778,23.48888888888889
Cameroon,0.5156666666666667,2.585714285714286,117.14285714285714,0.38822222222222225,24.877777777777776,34.56666666666666,38.833333333333336
Canada,0.8724444444444445,1.6375,113.85714285714286,0.7574444444444445,17,3.066666666666667,4.677777777777778
Central African Republic,0.3338888888888889,19.8,18.333333333333332,0.192,39.82222222222222,39.56666666666666,44.711111111111116
Chile,0.7754444444444445,3.3857142857142857,297.75,0.5314444444444445,34.022222222222226,12.377777777777778,6.444444444444445
China,0.6304444444444445,0.7625,118.14285714285714,0.5214444444444445,28.57777777777778,18.56,10.533333333333333
Colombia,0.6647777777777778,30.125,234.125,0.4272222222222222,41.13333333333333,20.644444444444446,13.433333333333334
Costa Rica,0.6992222222222222,10.6375,277.625,0.4902222222222222,34.03333333333333,15.1,7.644444444444444
Croatia,0.7891111111111111,1.075,98.57142857142857,0.6397777777777778,20.677777777777777,7.2444444444444445,4.933333333333334
Cyprus,0.794,1.05,51.625,0.7331111111111112,15.555555555555555,13.544444444444444,3.944444444444444
Czechia,0.88,0.8,199,0.7596666666666667,10.8,1.4111111111111112,3.6222222222222222
Denmark,0.9195555555555556,0.9875,65.625,0.8091111111111111,12.844444444444445,3.3222222222222224,3.977777777777778
Dominican Republic,0.6352222222222222,19.357142857142858,222.875,0.5053333333333333,30.81111111111111,22.433333333333334,16.58888888888889
Ecuador,0.696,10.3625,161.5,0.4752222222222222,31.88888888888889,18.744444444444444,13.844444444444445
Egypt,0.5846666666666667,2.6,94,0.5271111111111111,24.23333333333333,39.34444444444444,13.622222222222222
El Salvador,0.5691111111111111,66.2375,480.625,0.44955555555555554,28.833333333333332,30.444444444444443,14.055555555555555
Estonia,0.877,3.7625,230,0.6907777777777778,17.822222222222223,2.488888888888889,5.344444444444444
Eswatini (Kingdom of),0.5277777777777778,10.4125,278.2,0.42233333333333334,37.84444444444444,27.844444444444445,32.1
Fiji,0.7483333333333333,2.28,167.8,0.5155000000000001,22.6,10.625,12.61111111111111
Finland,0.9047777777777778,1.625,59.25,0.7944444444444445,12.333333333333334,2.4,3.422222222222222
France,0.802,1.325,103.25,0.7582222222222222,15.78888888888889,8.666666666666666,3.988888888888889
Georgia,0.8165555555555556,2.7,354,0.5037777777777778,24.58888888888889,3.1,12.155555555555555
Germany,0.9366666666666666,0.925,81.375,0.7736666666666667,16.011111111111113,2.3666666666666667,3.7
Ghana,0.545888888888889,1.95,52.57142857142857,0.3932222222222222,27.366666666666667,33.46666666666667,29.3
Greece,0.8176666666666667,1.15,100.625,0.67,19.58888888888889,11.78888888888889,3.977777777777778
Guatemala,0.482,32.55,111.85714285714286,0.4027777777777778,37.21111111111111,35.28888888888889,17.333333333333332
Guinea-Bissau,0.38822222222222225,3.18,19.5,0.269,34.3,40.83333333333333,44.11111111111111
Guyana,0.5942222222222222,18.4,275,0.47733333333333333,25.033333333333335,10.6,20.633333333333333
Haiti,0.42444444444444446,9.228571428571428,86,0.21711111111111112,48.455555555555556,39.22222222222222,30.08888888888889
Honduras,0.48777777777777775,67.8,166.5,0.33166666666666667,40.21111111111111,27.07777777777778,17.511111111111113
"Hong Kong, China (SAR)",0.839,0.425,125.25,0.718,25.6,10.366666666666667,2.8666666666666667
Hungary,0.8204444444444444,1.775,176.5,0.71,13.911111111111111,3.488888888888889,5.288888888888889
Iceland,0.8951111111111111,0.6,44.75,0.7942222222222223,12.355555555555556,2.566666666666667,2.8
India,0.524888888888889,3.6142857142857143,31,0.5003333333333333,16.900000000000002,37.46666666666667,24.666666666666668
Indonesia,0.6144444444444445,0.5125,68.14285714285714,0.5637777777777777,18.31111111111111,20.27777777777778,15.911111111111111
Iran (Islamic Republic of),0.7257777777777777,2.55,298.5,0.4885,37.63333333333333,24.36,12.477777777777778
Iraq,0.514888888888889,8.775,110.6,0.6428333333333334,15.533333333333335,30.1,18.2
Ireland,0.895888888888889,0.9750000000000001,84.875,0.765888888888889,16.38888888888889,3.611111111111111,3.6999999999999997
Israel,0.872,1.72,253.16666666666666,0.6573333333333333,24.288888888888888,7.666666666666667,3.7777777777777777
Italy,0.7874444444444445,0.8285714285714286,103.125,0.7074444444444444,20.11111111111111,11.277777777777779,3.422222222222222
Jamaica,0.6871111111111111,44.175,142.28571428571428,0.46455555555555555,29.400000000000002,7.311111111111111,13.466666666666667
Japan,0.8321111111111111,0.3,48.75,0.8028333333333333,11.1,16.16,3.2444444444444445
Jordan,0.6756666666666667,1.6875,113.42857142857143,0.5365555555555556,20.211111111111112,19.477777777777778,11.911111111111111
Kazakhstan,0.8034444444444445,6.571428571428571,254.25,0.7008888888888889,13.077777777777778,4.977777777777778,13.61111111111111
Kenya,0.5124444444444445,5.075,111.375,0.32933333333333337,33.91111111111111,26.544444444444444,29.844444444444445
Kiribati,0.5913333333333333,7.3,107.8,0.27975,48.4,21.4,23.5
Korea (Republic of),0.8613333333333333,0.7625,100.875,0.7114444444444444,19,23.455555555555556,3.811111111111111
Kyrgyzstan,0.7194444444444444,7.1,174.71428571428572,0.4292222222222222,16.066666666666666,6.7,16.7
Latvia,0.8593333333333333,3.35,255.75,0.65,20.322222222222223,3.511111111111111,6.866666666666666
Lebanon,0.61,4.014285714285714,108.625,0.5126000000000001,30,17.3875,8.55
Lesotho,0.5034444444444445,34.980000000000004,114,0.2912222222222222,44.2,23.566666666666666,32.86666666666667
Liberia,0.41766666666666663,3.5,44,0.2856666666666667,21.055555555555554,44.84444444444444,33.62222222222222
Lithuania,0.8726666666666667,6.025,281.125,0.6677777777777778,19.96666666666667,5.022222222222222,6.466666666666667
Luxembourg,0.7877777777777778,0.725,121.75,0.8281111111111111,14.988888888888889,6.888888888888889,3.466666666666667
Malawi,0.4481111111111111,2.4333333333333336,74.83333333333333,0.2638888888888889,27.166666666666668,30.377777777777776,35.388888888888886
Malaysia,0.7055555555555555,2,151.42857142857142,0.573,28.7,13.85,6.2
Maldives,0.54,1.4500000000000002,334.5,0.5536666666666666,22.77777777777778,36.044444444444444,7.866666666666666
Malta,0.7962222222222223,1.4333333333333333,137.375,0.7514285714285714,13.5,6.4,4.722222222222222
Mauritius,0.7098888888888889,2.2,195.75,0.648875,18.6,13.274999999999999,9.6
Mexico,0.6588888888888889,20.2375,167.375,0.5077777777777778,34.41111111111111,19.466666666666665,11.566666666666666
Moldova (Republic of),0.7072222222222222,5.4,175,0.5186666666666667,16.022222222222222,6.922222222222222,10.588888888888889
Mongolia,0.7368888888888889,7.25,236.875,0.5835555555555556,15.166666666666666,8.911111111111111,16.711111111111112
Montenegro,0.7921111111111111,2.8625,192.875,0.6616666666666667,12.977777777777778,6.011111111111111,5.966666666666667
Morocco,0.5066666666666667,1.3875,216,0.4952857142857143,22.485714285714284,45.28333333333333,15.811111111111112
Mozambique,0.36944444444444446,3.5,60.333333333333336,0.2428888888888889,32.36666666666667,27.977777777777774,38.34444444444445
Myanmar,0.428,2.257142857142857,137,0.5295,12.85,23.15,26.644444444444446
Namibia,0.5637777777777778,15.133333333333335,203.5,0.26355555555555554,61.766666666666666,26.555555555555557,21.58888888888889
Nepal,0.4832222222222222,2.3666666666666667,55.8,0.37477777777777777,21.666666666666668,42.833333333333336,19.533333333333335
Netherlands,0.898888888888889,0.7625,72.875,0.8092222222222222,13.011111111111111,4.333333333333333,3.7555555555555555
New Zealand,0.9104444444444445,0.9375,197.75,0.7395,16.4,3.533333333333333,4.722222222222222
Nicaragua,0.5456666666666666,10.371428571428572,153.66666666666666,0.4001111111111111,30.322222222222223,29.92222222222222,13.7
Niger,0.21622222222222223,4.65,38,0.2733333333333333,16.055555555555554,36.08888888888889,38.199999999999996
North Macedonia,0.6812222222222222,1.4125,140.28571428571428,0.5474444444444445,24.233333333333334,12.28888888888889,8.1
Norway,0.9146666666666667,0.7875,75.375,0.8596666666666667,12.188888888888888,3.3,3.3222222222222224
Oman,0.6911111111111111,0.4,35,0.714,20.1,9.1,7.0375
Pakistan,0.3877777777777778,6.5,43.142857142857146,0.5101111111111111,11.911111111111111,45.12222222222222,31.333333333333332
"Palestine, State of",0.6601111111111111,0.7142857142857143,276.14285714285717,0.49733333333333335,16.433333333333334,13.2,12.8125
Panama,0.6796666666666666,13.5875,386.5,0.4776666666666667,39.13333333333333,14.455555555555556,12.122222222222222
Paraguay,0.6212222222222222,9.82857142857143,156.125,0.45911111111111114,34.51111111111111,16.95,18
Peru,0.6844444444444444,6.828571428571428,219.875,0.48777777777777775,31.48888888888889,21.944444444444446,13.922222222222222
Philippines,0.653,9.35,122.28571428571429,0.47844444444444445,27.61111111111111,12.21111111111111,15.122222222222222
Poland,0.8485555555555555,0.875,205.5,0.68533333333333335,17.07777777777778,5.766666666666667,5.366666666666667
Portugal,0.7462222222222222,1.0125,130.25,0.6696666666666667,20.41111111111111,9.333333333333334,3.9555555555555557
Romania,0.7675555555555555,1.625,145.75,0.6444444444444445,19.3,6.111111111111111,8.444444444444445
Russian Federation,0.8064444444444444,10.966666666666667,478.875,0.6916666666666667,16.566666666666666,4.5625,9.4
Rwanda,0.4448888888888889,2.94,498.4,0.274,35.17777777777778,29.644444444444446,31.92222222222222
Saint Lucia,0.653888888888889,21.8375,319.4,0.5164,27.4,10.559999999999999,9.9125
Sao Tome and Principe,0.5084444444444445,3.4,122.6,0.36162500000000003,28.6125,19.944444444444443,26.833333333333332
Serbia,0.7566666666666667,1.35,118.375,0.6176666666666667,16.955555555555556,9.255555555555555,7.733333333333333
Sierra Leone,0.37633333333333335,2.175,46.714285714285715,0.3041111111111111,23.3,47.78888888888889,44.388888888888886
Singapore,0.8224444444444444,0.2875,238.375,0.75,25,9.333333333333334,2.8777777777777778
Slovakia,0.8201111111111111,1.275,187.875,0.7474444444444445,11.71111111111111,1.5333333333333334,5.533333333333333
Slovenia,0.8804444444444445,0.75,65.875,0.765,10.588888888888889,2.7666666666666666,3.6222222222222222
South Africa,0.7042222222222222,32.4,294.7142857142857,0.3308333333333333,54.18333333333333,17.366666666666667,24.877777777777776
South Sudan,0.31033333333333335,13.9,55,0.276,32.3,39.6,38.75
Spain,0.81033333333333335,0.725,140.625,0.6872222222222222,21.244444444444444,9.700000000000001,3.6555555555555554
Sri Lanka,0.7457777777777778,2.95,107.5,0.5708888888888889,18.344444444444445,13.733333333333333,8.555555555555555
Suriname,0.64,6,189,0.4727777777777778,36.266666666666666,18.244444444444444,13.9
Sweden,0.892,0.9625,62.875,0.8056666666666666,12.88888888888889,3.6444444444444444,3.1222222222222222
Switzerland,0.889888888888889,0.6,76.875,0.82,14.68888888888889,3.3222222222222224,3.8555555555555556
Tajikistan,0.6685555555555556,2,122,0.4414444444444445,14.844444444444445,8.355555555555556,24.9
Tanzania (United Republic of),0.41988888888888887,7.628571428571429,70,0.38133333333333336,21.433333333333334,28.58888888888889,29.244444444444444
Thailand,0.6374444444444445,4.285714285714286,419,0.5206666666666666,30.6,16.72222222222222,9.577777777777778
Timor-Leste,0.49933333333333335,3.7,36.75,0.533,17.022222222222222,46.611111111111114,25.288888888888888
Trinidad and Tobago,0.7134444444444444,30.216666666666665,319,0.669375,21.9,6.6,16.233333333333334
Tunisia,0.6434444444444445,2.85,202.75,0.5625714285714285,19.728571428571428,35.51428571428571,11.299999999999999
Turkey,0.6871111111111111,4.233333333333333,215.5,0.6218888888888889,23.544444444444444,18.766666666666666,11.533333333333333
Uganda,0.4971111111111111,10.685714285714285,106.875,0.31122222222222223,26.98888888888889,29.755555555555556,34.93333333333334
Ukraine,0.7922222222222223,5.5,253.2,0.5953333333333333,9.744444444444444,4.344444444444444,9.322222222222223
United Kingdom,0.9025555555555556,1.05,145,0.7342222222222222,18.07777777777778,3.3666666666666667,4.455555555555556
United States,0.8956666666666667,4.8625,704.4285714285714,0.6741111111111111,28.87777777777778,5.155555555555556,6.133333333333333
Uruguay,0.7293333333333333,7.475,284.625,0.5833333333333333,25.91111111111111,9.544444444444444,9.166666666666666
Uzbekistan,0.7004444444444444,1.4,143,0.4807142857142857,19.47142857142857,1.2444444444444445,21.7
Venezuela (Bolivarian Republic of),0.7091111111111111,52.98,161.66666666666666,0.5112222222222222,31.755555555555553,15.8,12.4
Viet Nam,0.6124444444444445,1.5,140.66666666666666,0.48833333333333334,17.766666666666666,17.522222222222222,13.033333333333333
Yemen,0.34022222222222226,5.9,50.333333333333336,0.3983333333333333,19.533333333333335,47.9,27.322222222222223
Zambia,0.5391111111111111,5.7,119,0.31877777777777777,40.422222222222224,22.677777777777777,35.84444444444444
Zimbabwe,0.5525555555555556,5.85,112.16666666666667,0.31366666666666665,32.577777777777776,17.88888888888889,28.622222222222224
